Code,Name,Room,Place,Year,Shape,Material,Description
0121,Ewer decorated with the signs of zodiac,5,"Afghanistan, Herat",About 1220,height 38cm,"copper alloy, silver","The decoration of this ewer illustrates the twelve signs of the Zodiac. They are represented on each of the twelve faces of its belly, along with formulae of good wishes to the object's owner. The ewer is a technical masterpiece, hammered from a single sheet of brass. The handle is the only part that was individually cast and soldered to the neck and the belly. The decoration was then chased, worked with a repousse technique, and inlaid with silver."
0122,Chamfered vase with royal crane motifs (Lajvardina decoration),5,Iran,About 1300,height 34.2cm,"ceramic, painted overglaze decoration with gold highlights","This vase is characteristic of the ceremonial ceramic ware developed in the Iranian world in the late 13th century. It combines a typically Persian decorative technique, known as lajvardina, with Chinese-inspired motifs like the grey-crowned crane on each of its sides. This syncretism illustrates the renewal of Iranian ceramic production under the likhanid dynasty (1256-1353) founded by the grandson of the great Mongol ruler Genghis Khan, which had conquered and reunified Iran during the 13th century."
0123,Basin inscribed with the name of Bonifilius,6,Northern Italy,About 1300,diameter 137 cm,marble,"This ablution basin was decorated by the sculptor Bonifilius with various animals of ambivalent symbolic significance: lions, as a symbol of power, were sometimes positive and sometimes negative in the Middle Ages, as were dragons. The porcupine, however, was a symbol of avarice for a long time before coming to represent military valour. Inside the basin is a salamander, a creature that could extinguish any flame. So the decoration evokes the struggle between good and evil, echoing water's role of purifying the faithful before prayer."
0124,"Basin inscribed with the name of Hugh of Lusignan, king of Cyprus",6,"Mamluk sultanate, Syria or Egypt",1324-1359,,copper alloy with decoration in silver and organic matter,"This bowl was created by Mamluk craftsmen for the king of Cyprus, Hugh IV of Lusignan, in the mid-14h century. It is one of the few surviving objects demonstrating the diplomatic relations that existed at the time between the last Christian sovereigns in the eastern Mediterranean and the Mamluk dynasty, whose territory ranged from modern-day Libya to Syria. Hugh of Lusignan's ancestors reigned over Jerusalem in the late 12Th century during the Crusades."
0125,Collar of the order of the golden fleece,6,"Flanders (today northern France, Belgium and part of the Netherlands)",1500-1600,length 118cm,gold and enamel,"This ram hanging from a chain is a reference to the Greek myth of the Golden Fleece. It was worn to indicate membership of the Order of the Golden Fleece, an order of knighthood established in the late 15th century. The concept of knighthood emerged a few centuries earlier in the West. Knights, who were specialists in combat on horseback, became a hereditary caste within feudal society. Initially created to participate in the defence of Christendom, the orders of knights subsequently became a political power and formed a kind of royal council."
0126,Turban helmet,6,"Aq-qoyunlu or Ottoman, Turkey",1450-1500,height 61cm,"steel with silver inlays, traces of gold","This turban-helmet belongs to a group of helmets worn in the Persian world and Anatolia from the 14th to the 16th century. It owes its name to the way in which it could be worn, over a turban, but also to its twisted shape, reminiscent of the way in which hair might be twisted. An inscription on the upper part, inspired by Sufi mysticism, imbues the helmet with the symbolic power of protection. The elegance of the item suggests it was used essentially for ceremonial purposes."
0127,Monumental Lion: An acoustic automation,6,Southern Spain or sourthern Italy,1000-1200,,bronze,"This bronze lion, a masterpiece of Islamic sculpture, was probably an automaton that made sounds like a big cat roaring. Muslim sovereigns and scientists were fascinated by this type of object, which was likely invented in the 11th century in the Mediterranean basin. A symbol of bravery, majesty and strength, the lion has been associated with figures of power since ancient times. It is therefore frequently depicted as the guardian of a throne, temple or tomb."
0128,Conical helmet,6,China or Mongolia,1350-1450,,iron inlaid with silver,
0129,Dagger decorated with calligraphy and floral designs,6,"Nasrid dynasty, Spain, Granada",About 1500,,"steel, ivory, silver, bronze, gold",
0130,Picture: Virgin and Child of Giovanni Bellini,6,"Italy, Venice",1480-1485,"height 109 cm, length 85 cm",oil on wood,"The Virgin stands with her hands joined in pray before her son, the Christ Child. The incarnation of God as Jesus Christ, who died on the cross to atone for humankind's sins, is at the core of the Christian faith. This 15""h century work, which is intimate in appearance, was intended as an aid for meditation and private devotion. The painter, Giovanni Bellini, brought his figures to life with chiaroscuro effects of shadow and light. He also used oil paint, a technique borrowed from Flemish artists. In Italy, this novel approach set Venice apart from the other centres of artistic activity."
0131,Picture: Virgin and Child of Francesco Traini,6,Italy,About 1325,"height 67.5 cm, width 56 cm",tempera on panel,"This Virgin and Child painted by the 14th century artist Francesco Traini lies at the meeting point between two traditions, Byzantine and Italian. The gold colour of the background and the subject are characteristic of the Byzantine tradition. The small religious images known as icons had come to Europe from Constantinople a century earlier. Artists were inspired by these works whilst also introducing new characteristics, such as expression of feeling and a wealth of detail. So this painting is part of the great revolution undertaken by the Italian Primitives."
0132,Bascinet with visor,6,France,1380-1400,,steel,
0133,Tapestry of Daniel and Nebuchadnezzar,6,Southern Netherlands,About 1520,length 347 cm,"wool, silk",
0134,"Tiki vaka, canoe prow ornament",0,"Oceania, Marquesas Islands",1800-1900,,wood,
0135,Ceremonial shield,0,"Oceania, Solomon Islands",1800-1900,,"wood, mother of pearl, fibres, parinarium, nut paste, pigment",
0136,Ceremonial armour with the arms of the Shishido family,0,"Japan, Kyoto",1550-1868,,"iron, copper, wood, leather, silk, lacquer, gold",
0137,Fight between Creugas and Damoxenos,0,"Antonio Canova, Italy, Possagno",1797-1803,,plaster,"Italian sculptor Antonio Canova depicts a fight to the death between two fighters - Creugas and Damoxenos - as told by the ancient Greek writer Pausanias. His Description of Greece inspired many 18Th century European artists. These models created from preparatory drawings and an initial plaster version are transfer or working plasters. They helped Canova perfect his composition. The final version in marble is held in the Vatican in Rome."
0138,The painting lesson,0,Germany,1650,,oil on canvas,It is drawn by Johann Heinrich Schonfeld.
0139,Water jug ,0,"Japan, Shigaraki, Azuchi-Momoyama period",1568-1603,,stonewave,
0140,"Furo, a brazier to boil water",0,"Japan, Kyushu, Edo period",1600-1868,,stonewave,
0141,Tea bowl,0,Japan,1568-1603,,,This is a Raku ware which is attributed to Hon'ami Koetsu
0142,Tea and coffee service for Paul I of Russia,0,"France, Sevres, Manufacture Royale de procelaine",1773,,hard-paste porcelain with gold decoration,
0143,Service for hot drinks with green and pink decoration,0,"Germany, Saxe-Coburg, Meissen factory",About 1750,,porcelain,
0144,William and Penelope Welby Playing Chess,0,"Francis Cotes, United Kingdom",1769,,oil on canvas,
0145,Statue: The call of arms,0,"France, Paris",After 1906,,cast bronze,
0146,"Picture: Composition of Blue, Red, Yellow and Black",0,"Piet Mondrian, France, Paris",1922,"height 79 cm, width 49.5 cm",oil on canvas,"This 1922 composition takes us right to the heart of Piet Mondrian's radical aesthetic. In the 1920s, the Dutch painter developed an art based on elementary principles: straight lines, areas separated from each other, and the three primary colours (red, yellow, blue) and the two non-colours (black and white). By emancipating himself from the need to represent reality, Mondrian emerged as one of the pioneers of abstract art in the early 20th century."
0147,Picture: Bindu,0,"Sayed Haider Raza, France or India",1986,"height 120 cm, width 120 cm",acrylic on canvas,"This painting by the Indian artist Syed Haider Raza is a simple composition with a subtle combination of colours. The large black circle depicts a Bindu, the symbol of life in Hindu belief, to which the artist is particularly attached both formally and spiritually. Raza trained in France in the 1950s and embraced Western avant-garde art, and abstraction in particular. His work demonstrates his dual Indian and European heritage."
0148,Picture: Crystal,0,"Frantisek Kupka, France, Puteaux",1919-1920,,oil on canvas,"With this eruption of black and brown shapes and yellow and orange swirls, Czech painter Frantisek Kupka seems depict the vital force of creation in his painting entitled Cristal. The artist believed that a work of art was abstract and should therefore be composed of invented elements. Here, he draws his inspiration from the organic world to suggest that the work is a living organism. Frantisek Kupka belonged to the Abstract art movement at a time in the early 20th century when only a small number of Russian and European painters pursued this path."
